timestamp,left_motor_1_target,left_motor_1_actual,left_motor_2_target,left_motor_2_actual
9.338,0.4739995300769806,0.315000057220459,0.4739995300769806,0.4100000858306885
9.339,0.5596482157707214,0.44499993324279785,0.5596482157707214,0.46000003814697266
9.339,0.6474600434303284,0.565000057220459,0.6474600434303284,0.5149998664855957
9.34,0.7374348044395447,0.7100000381469727,0.7374348044395447,0.6099998950958252
9.34,0.829572856426239,0.7599999904632568,0.829572856426239,0.7049999237060547
9.341,0.9238739013671875,0.8250000476837158,0.9238739013671875,0.7950000762939453
9.341,1.0203380584716797,0.9099998474121094,1.0203380584716797,0.9300000667572021
9.342,1.116301417350769,1.0199997425079346,1.116301417350769,1.0299999713897705
9.342,1.1716657876968384,1.0899999141693115,1.1716657876968384,1.1000001430511475
9.343,1.1729544401168823,1.1549999713897705,1.1729544401168823,1.1649997234344482
9.343,1.1201609373092651,1.2149999141693115,1.1201609373092651,1.2250001430511475
9.344,1.0249850749969482,1.2450001239776611,1.0249850749969482,1.249999761581421
9.344,0.9284182190895081,1.2000000476837158,0.9284182190895081,1.1850001811981201
9.345,0.8340141773223877,1.1200001239776611,0.8340141773223877,1.1049997806549072
9.345,0.7417729496955872,1.0099999904632568,0.7417729496955872,1.0399997234344482
9.346,0.6516954898834229,0.8799998760223389,0.6516954898834229,0.9750001430511475
9.346,0.5637807846069336,0.8250000476837158,0.5637807846069336,0.869999885559082
9.347,0.47802937030792236,0.75,0.47802937030792236,0.7400000095367432
9.347,0.39444077014923096,0.6150000095367432,0.39444077014923096,0.5450000762939453
9.348,0.3130154311656952,0.4249999523162842,0.3130154311656952,0.39499998092651367
9.349,0.23375239968299866,0.2799999713897705,0.23375239968299866,0.2200000286102295
9.349,0.15665313601493835,0.14999985694885254,0.15665313601493835,0.08999991416931152
9.35,0.08171716332435608,0.07999992370605469,0.08171716332435608,0.014999866485595703
9.35,0.008943971246480942,-0.039999961853027344,0.008943971246480942,-0.09999990463256836
9.351,-0.061665430665016174,-0.18499994277954102,-0.061665430665016174,-0.1549999713897705
9.351,-0.13011205196380615,-0.28999996185302734,-0.13011205196380615,-0.21000003814697266
9.352,-0.1963958889245987,-0.39499998092651367,-0.1963958889245987,-0.25500011444091797
9.352,-0.260517954826355,-0.4249999523162842,-0.260517954826355,-0.2950000762939453
9.353,-0.3224742114543915,-0.43000006675720215,-0.3224742114543915,-0.34999990463256836
9.353,-0.38226866722106934,-0.43000006675720215,-0.38226866722106934,-0.434999942779541
9.354,-0.43990036845207214,-0.43000006675720215,-0.43990036845207214,-0.48000001907348633
9.354,-0.4953683018684387,-0.440000057220459,-0.4953683018684387,-0.5250000953674316
9.355,-0.5486733913421631,-0.4700000286102295,-0.5486733913421631,-0.5499999523162842
9.355,-0.599814772605896,-0.5150001049041748,-0.599814772605896,-0.5999999046325684
9.356,-0.6487942934036255,-0.5750000476837158,-0.6487942934036255,-0.6549999713897705
9.356,-0.6956101059913635,-0.690000057220459,-0.6956101059913635,-0.7200000286102295
9.357,-0.740263044834137,-0.7950000762939453,-0.740263044834137,-0.75
9.357,-0.782752275466919,-0.8450000286102295,-0.782752275466919,-0.7799999713897705
9.358,-0.8230786919593811,-0.880000114440918,-0.8230786919593811,-0.7999999523162842
9.359,-0.8612422943115234,-0.8949999809265137,-0.8612422943115234,-0.8199999332427979
9.359,-0.8972421884536743,-0.9000000953674316,-0.8972421884536743,-0.8499999046325684
9.36,-0.9310792088508606,-0.9200000762939453,-0.9310792088508606,-0.8900001049041748
9.36,-0.9627525210380554,-0.940000057220459,-0.9627525210380554,-0.934999942779541
9.361,-0.992264986038208,-0.9900000095367432,-0.992264986038208,-1.0099999904632568
9.361,-1.0196126699447632,-1.0299999713897705,-1.0196126699447632,-1.0800000429153442
9.362,-1.044797658920288,-1.0649999380111694,-1.044797658920288,-1.1100000143051147
9.362,-1.0678187608718872,-1.090000033378601,-1.0678187608718872,-1.125
9.363,-1.088677167892456,-1.1150000095367432,-1.088677167892456,-1.125
9.363,-1.1073726415634155,-1.1299999952316284,-1.1073726415634155,-1.1399999856948853
9.364,-1.1239044666290283,-1.149999976158142,-1.1239044666290283,-1.159999966621399
9.364,-1.1382734775543213,-1.1649999618530273,-1.1382734775543213,-1.1799999475479126
9.365,-1.1504796743392944,-1.1799999475479126,-1.1504796743392944,-1.1899999380111694
9.365,-1.1605221033096313,-1.1899999380111694,-1.1605221033096313,-1.2000000476837158
9.366,-1.1684017181396484,-1.1950000524520874,-1.1684017181396484,-1.2000000476837158
9.366,-1.1741186380386353,-1.2050000429153442,-1.1741186380386353,-1.2050000429153442
9.367,-1.177674651145935,-1.2050000429153442,-1.177674651145935,-1.2050000429153442
9.367,-1.1790649890899658,-1.2100000381469727,-1.1790649890899658,-1.1950000524520874
9.368,-1.1782914400100708,-1.215000033378601,-1.1782914400100708,-1.1899999380111694
9.368,-1.1753557920455933,-1.2200000286102295,-1.1753557920455933,-1.1899999380111694
9.369,-1.1702570915222168,-1.2200000286102295,-1.1702570915222168,-1.1950000524520874
9.37,-1.1629952192306519,-1.2200000286102295,-1.1629952192306519,-1.2000000476837158
9.37,-1.153570294380188,-1.2100000381469727,-1.153570294380188,-1.2050000429153442
9.371,-1.1419821977615356,-1.1950000524520874,-1.1419821977615356,-1.2050000429153442
9.371,-1.1282310485839844,-1.184999942779541,-1.1282310485839844,-1.2050000429153442
9.372,-1.1123167276382446,-1.1749999523162842,-1.1123167276382446,-1.1950000524520874
9.372,-1.094239354133606,-1.1699999570846558,-1.094239354133606,-1.1799999475479126
9.373,-1.0739989280700684,-1.159999966621399,-1.0739989280700684,-1.159999966621399
9.373,-1.0515953302383423,-1.149999976158142,-1.0515953302383423,-1.1299999952316284
9.374,-1.0270286798477173,-1.1349999904632568,-1.0270286798477173,-1.1050000190734863
9.374,-1.0002988576889038,-1.1150000095367432,-1.0002988576889038,-1.0750000476837158
9.375,-0.9714059233665466,-1.090000033378601,-0.9714059233665466,-1.0399999618530273
9.375,-0.9403499364852905,-1.0549999475479126,-0.9403499364852905,-1.0
9.376,-0.907130777835846,-1.0,-0.907130777835846,-0.9700000286102295
9.376,-0.8717485666275024,-0.9300000667572021,-0.8717485666275024,-0.9449999332427979
9.377,-0.8342032432556152,-0.880000114440918,-0.8342032432556152,-0.9200000762939453
9.377,-0.7944948077201843,-0.8399999141693115,-0.7944948077201843,-0.8900001049041748
9.378,-0.7526233196258545,-0.7999999523162842,-0.7526233196258545,-0.8550000190734863
9.378,-0.7085886597633362,-0.7650001049041748,-0.7085886597633362,-0.815000057220459
9.379,-0.6623908877372742,-0.7300000190734863,-0.6623908877372742,-0.7599999904632568
9.38,-0.6140300631523132,-0.684999942779541,-0.6140300631523132,-0.6800000667572021
9.38,-0.5635060667991638,-0.6449999809265137,-0.5635060667991638,-0.6099998950958252
9.381,-0.5108190774917603,-0.6099998950958252,-0.5108190774917603,-0.559999942779541
9.381,-0.4559688866138458,-0.5699999332427979,-0.4559688866138458,-0.5150001049041748
9.382,-0.3989556133747101,-0.5250000953674316,-0.3989556133747101,-0.4649999141693115
9.382,-0.33977922797203064,-0.48000001907348633,-0.33977922797203064,-0.40000009536743164
9.383,-0.2784397602081299,-0.4049999713897705,-0.2784397602081299,-0.3250000476837158
9.383,-0.21493713557720184,-0.2850000858306885,-0.21493713557720184,-0.28999996185302734
9.384,-0.14927147328853607,-0.2200000286102295,-0.14927147328853607,-0.25999999046325684
9.384,-0.08144264668226242,-0.1549999713897705,-0.08144264668226242,-0.22499990463256836
9.385,-0.011450784280896187,-0.07999992370605469,-0.011450784280896187,-0.17499995231628418
9.385,0.06070423498749733,0.014999866485595703,0.06070423498749733,-0.08999991416931152
9.386,0.13502228260040283,0.06500005722045898,0.13502228260040283,0.039999961853027344
9.386,0.21150362491607666,0.10500001907348633,0.21150362491607666,0.11500000953674316
9.387,0.2901478707790375,0.1399998664855957,0.2901478707790375,0.20000004768371582
9.387,0.37095528841018677,0.19000005722045898,0.37095528841018677,0.3299999237060547
9.388,0.45392584800720215,0.2999999523162842,0.45392584800720215,0.39499998092651367
9.388,0.5390594601631165,0.43000006675720215,0.5390594601631165,0.4500000476837158
9.389,0.6263561844825745,0.5299999713897705,0.6263561844825745,0.5049998760223389
9.389,0.7158161401748657,0.6800000667572021,0.7158161401748657,0.5950000286102295
9.39,0.8074389696121216,0.7400000095367432,0.8074389696121216,0.6949999332427979
9.391,0.9012250900268555,0.8050000667572021,0.9012250900268555,0.7749998569488525
9.391,0.9971742630004883,0.8799998760223389,0.9971742630004883,0.8899998664855957
9.392,1.0951493978500366,1.0049998760223389,1.0951493978500366,1.0150001049041748
9.392,1.1633907556533813,1.0750000476837158,1.1633907556533813,1.0750000476837158
9.393,1.1775563955307007,1.1400001049041748,1.1775563955307007,1.1400001049041748
9.393,1.1376398801803589,1.1949999332427979,1.1376398801803589,1.2050001621246338
9.394,1.0482970476150513,1.2250001430511475,1.0482970476150513,1.249999761581421
9.394,0.9512138366699219,1.1949999332427979,0.9512138366699219,1.2099997997283936
9.395,0.8562949895858765,1.1200001239776611,0.8562949895858765,1.124999761581421
9.395,0.7635393738746643,1.0249998569488525,0.7635393738746643,1.0550000667572021
9.396,0.672946572303772,0.9099998474121094,0.672946572303772,0.9900000095367432
9.396,0.5845165848731995,0.8450000286102295,0.5845165848731995,0.8999998569488525
9.397,0.4982503652572632,0.7799999713897705,0.4982503652572632,0.7649998664855957
9.397,0.41414690017700195,0.6749999523162842,0.41414690017700195,0.6050000190734863
9.398,0.33220624923706055,0.4700000286102295,0.33220624923706055,0.41499996185302734
9.398,0.25242888927459717,0.3250000476837158,0.25242888927459717,0.28999996185302734
9.399,0.17481328547000885,0.1549999713897705,0.17481328547000885,0.11500000953674316
9.399,0.09936298429965973,0.09500002861022949,0.09936298429965973,0.05500006675720215
9.4,0.02607446163892746,-0.015000104904174805,0.02607446163892746,-0.03500008583068848
